Title,Company,Location,Experience,Studies-level,Domain,Requirements,Contract,Links,Date
Stage pré-embauche en Infographie,RH,Casablanca,null,Bac plus 2,Informatique - Webdesign/Infographie,"Une Agence de communication digitale basée à Oulfa Casablanca recherche un(e) infographiste pour un stage pré-embauche.<br>Missions :<br>Création de maquettes de sites web et d’applications mobiles.<br>Création de visuels (affiches, présentations, infographies, etc.).Création de contenus visuels pour les réseaux sociaux.<br>Création de logos et d’identités visuelles de sites web.Print - création et mise en forme des nos supports internes et externes (brochures d’entreprises, dépliants commerciaux, etc.).<br>Profil recherché :<br>formation minimum Bac+2<br>Parfaite maîtrise de la collection Adobe (Photoshop, Illustrator, Indesign, After Effects, Premiere, Lightroom…)Vous connaissez les dernières tendances et les meilleures pratiques des sites web et d’applications mobiles.<br>Vous êtes une personne pro-active qui aime prendre des initiatives.Vous avez une sensibilité artistique (design graphique, illustrations, etc).<br>Enoyez vos CV via MarocAnnonces.",A discuter,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8724978/Stage-prÃ©-embauche-en-Infographie.html,22-09-2021
Stage Pré-embauche en Infographie,RH,Casablanca,null,Bac plus 2,Informatique - Webdesign/Infographie,"Une Agence de communication digitale basée sur Oulfa à Casablanca recherche un(e) infographiste pour un stage Pré-embauche.<br>Missions :Création de maquettes de sites web et d’applications mobiles.<br>Création de visuels (affiches, présentations, infographies, etc.).Création de contenus visuels pour les réseaux sociaux.Création de logos et d’identités visuelles de sites web.Print - création et mise en forme des nos supports internes et externes (brochures d’entreprises, dépliants commerciaux, etc.).<br>Profil recherché :formation minimum Bac+2<br>Parfaite maîtrise de la collection Adobe (Photoshop, Illustrator, Indesign, After Effects, Premiere, Lightroom…)Vous connaissez les dernières tendances et les meilleures pratiques des sites web et d’applications mobiles.Vous êtes une personne pro-active qui aime prendre des initiatives.Vous avez une sensibilité artistique (design graphique, illustrations, etc).<br>Enoyez vos CV via MarocAnnonces.",Stage,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8807060/Stage-PrÃ©-embauche-en-Infographie.html,22-09-2021
Infographistes (h/f) à casablanca,Subliwear sarl,Casablanca,null,Bac plus 2,Informatique - Webdesign/Infographie,"Nous cherchons des infographistes créatifs qui maîtrisent les logiciels pao (illustrator - photoshop...) - bonne sensibilité graphique issue d’une formation en infographie. Ambitieux et capable de contribuer au développement de nouveaux services en ayant un fort esprit d’équipe.
-- envoyez votre cv avec photo  svp --",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8738908/Infographistes-(hf)-Ã -casablanca.html,22-09-2021
Technicien en Informatique,Anonyme,Casablanca,null,Bac plus 2,Informatique - Développement Hardware,"Pour accompagner la croissance de notre société basée à Casablanca nous recrutons un  technicien en réseaux informatique.
Merci de nous envoyer vos cv.",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817349/Technicien-en-Informatique.html,22-09-2021
Stagiaire Assistant Commercial ,DATA SOFTWARE,Berrechid,null,Pas important,Assistant(e) / Secrétaire de direction,"Bonjour 

Notre entreprise cherche un Stagiaire Assistant Commercial pour une durée de 3 mois .
NB : Le stage se déroulera à BERRECHID
Profil demandé : une personne sérieuse et ponctuelle et qui a des connaissances en informatique et Commerce.",Stage,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817319/Stagiaire-Assistant-Commercial.html,22-09-2021
Developpeur Magento,Confientiel,Casablanca,null,Bac plus 2,Informatique - Développement,"Nous recherchons en urgence un Développeur full stack avec de solides connaissances en Magento (Backend : DotNet et php - Front End : Angular - Mobile : Ionic). Bac+2 ou Bac+3, 1 an d'expérience minimum.",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817312/Developpeur-Magento.html,22-09-2021
Network architect ,SA,Rabat,null,Bac plus 5,Informatique - Systèmes d'Information,Nous recrutons pour le compte d'une multinationale un network architect (H/F) à rabat qui a 8 ans d'expérience Intéressé(e) ? merci de postuler via ce site,CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8790664/Network-architect.html,22-09-2021
Cloud system architect-AZURE  ,SA,Rabat,null,Bac plus 5,Informatique - Systèmes/Réseaux,Nous recrutons pour le compte d'une multinationale un cloud system architect (H/F) à rabat qui a 5 ans d'expérience dans une fonction similaire. Intéressé ? merci de postuler via ce site.,CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8790647/Cloud-system-architect-AZURE.html,22-09-2021
Chef de projets VDI,SA,Rabat,null,Bac plus 5,Informatique - Systèmes/Réseaux,Nous recrutons pour le compte d'une multinationale un chef de projet VDI qui a plus de 3 ans d'expérience dans la conception et la mise en oeuvre d'infrastructures virtuelles.Intéressé(e) ? merci de postuler via ce site.,CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8790672/Chef-de-projets-VDI.html,22-09-2021
DEVELOPPEMENT INFORMATQUE,DVH,Casablanca,null,Pas important,Informatique - Développement,Cherches développeurs web qui maitrisent les produits Windev et Prestashop,A discuter,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817338/DEVELOPPEMENT-INFORMATQUE.html,22-09-2021
développeur informatique ,INT ASSISTANCE,Agadir,null,Bac plus 3,Informatique - Développement,"L'entreprise [int assistance] spécialisée dans [assistance] recherche pour son siège social un garçon et une fille.
tâches : développeur informatiquesous la responsabilité du chef de service, vous vous occuperez de système informatique ,métrisé java,PhP, application mobile,....
profil souhaité :titulaire bac+3. être résident dans les régions et les quartiers voisins, s’il habite loin du lieu de travail (lirak) il sera responsable des frais de transport ou avoir un moyen de transport, votre aisance relationnelle, votre dynamisme et votre polyvalence vous permettront d'être rapidement autonome.
*expérience au moine de 2ans.*stage 1 mois rémunéré d’un montant de 1000dh.
*contrat Anapec à durée déterminée du (6 mois).horaires de 44 heures par semaine, 8h par jour, 1 jour de repos par semaine.
*Merci de m'envoyer vous Cv*Le poste a agadir.",Anapec,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8789349/dÃ©veloppeur-informatique.html,22-09-2021
Chef de projet IT Junior ,SA,Casablanca,null,Bac plus 5,Commercial professionnels (B2B),"Nous recrutons pour le compte d'une grande SSII, un chef de projet de projet IT qui sera responsable du déploiement technique d’un projet – nouveau client à implémenter ou bien nouvelle activité d’un client existant (voire un changement complexe).Le pré-cadrage technique aura été effectué par l’avant-vente technique (équipe Business RelationshipManagement), qui livrera une Fiche d’Identification Projet décrivant ce cadrage.Le chef de projet technique lancera ensuite le chantier : prise de contact avec les directions de compte et deproduction concernées, et prise de contact avec l’équipe technique du client donneur d’ordre.Le chef de projet technique est garant du périmètre technique à livrer, ainsi que du planning de livraison.Il communique avec toutes les équipes internes et externes concernées.Profil recherché :Lauréat d'un Master, vous êtes autonome, dynamique et rigoureux. Vous justifiez de bonnes compétences organisationnelles et d'un bon sens relationnel.Vous justifiez également de connaissances en gestion de projets Techniques, administration réseau-système, téléphonie, architecturestechniques variées et environnement Windows.",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8654535/Chef-de-projet-IT-Junior.html,22-09-2021
